CoordinateX,CoordinateY
7.32,-0.02
-4.90233,-4.56252
-1.59892,-5.57256
-7.3,-10.23
0.94,1.34
1.12,3.53
-0.12,0.01
6.99,1.83
-1.32,0.22
4.27138,3.1549
4.08,-9.19
-4.70017,3.48867
8.41762,-1.64442
1.77,-0.17
3.77,7.08
5.09621,7.281
9.5,0.63
-4.41,0.66
1.31275,-1.89621
3.47051,1.23769
4.48,-7.65
-1.18,-1.26
1.97,16.06
-2.41,-2.17
-1.29,3.29
-14.76,0.07
12.55,17.98
-0.88,-5.02
-2.16,-2.46
-6.00833,-6.25067
-2.51823,-17.93825
4.90248,2.08705
5.18,1.22
10.46166,3.61544
-9.71,-0.15
-0.24,1.17
-12.97,-2.51
-7.5,3.52
12.63,6.86
1.43186,-0.99502
-5.01,-6.71
-0.72,3.54
15.65,16.72
-0.38,-1.51
-5.46,4.1
1.32971,14.68627
1.49932,8.51441
20.96,2.93
-11.96361,-2.38183
6.23742,-3.08198
-2.23,16.71
-4.81,1.75
3.77,0.32
9.79588,3.57213
9.52,6.18
-4.64,-4.44
-0.05,-0.1
-7.77,7.13
10.65611,-1.77128
5.34,3.3
2.01,1.82
9.9,-3.57
-3.39,-1.12
13.21,6.45
29.18,-9.2
0.16,1.65
8.43,4.8
1.5,30.83
-0.05,-2.14
-4.21543,-5.76625
-0.31,-14.27
-5.18437,-7.46238
4.01,0.51
-3.18,1.48
0.01,2.97
6.22,-10.47
-4.82129,-4.04591
-1.62,1.74
-26.46,-7.88
2.04,-16.78
-8.02,-4.81
1.72,-9.78
16.09,-11.57
0.96909,0.29073
-3.63415,1.84124
7.33,13.98
2.67,1.82
3.03,-5.07
3.9557,5.70335
5.8,1.07
3.62,2.99
6.04,2.35
27.66,21.08
-2.2047,-1.09022
-1.46,-1.16
1.18,-0.89
-13.25,6.31
12.84,-12.64
-0.48535,-5.92196
-1.73,-0.48
4.24693,-5.84896
7.17,-7.56
-3.03,-2.16
-6,2.99
-1.20926,-3.53117
7.88,-20.86
-0.05,-12.7
2.16,0.01
3.06313,-2.28516
-3.44616,3.88304
10.34046,1.31027
-1.32,2.67
0.73,-2.62
-3.59,11.55
4.59483,0.36464
1.29,2.46
3.47,-1.58
1.44,1.07
-4.23935,-8.65001
-7.46,-3.82
-0.42,0.01
-5.16,-9.72
-11.14661,4.50544
-1.47,1.52
11.33008,17.35755
-1.42941,-0.50877
4.46562,0.5339
16.79776,2.39733
0.94644,4.97532
1.11634,-3.98019
1.97,-4.46
-1.21,-2.57
-9.7,-5.57
2.31,-1.53
-2.43,2.04
10.08718,1.76524
-1.46,-9.14
5.45,-8.67
2.36,7.77
2.54,19.52
-0.87217,-3.39188
-3.42769,4.74061
-8.94,-1.53
-1.68,3.92
21.88,12.1
-7.86384,-3.10612
11.84,13.2
9.09,-0.78
-14.61,-10.09
-11.57,14.44
-9.12641,1.40739
2.67,1.75
-5.8,-2.55
3.95,1.73
0.65524,-3.5676
-5.19,-14.08
-2.19,1.6
-1.13868,1.3325
3.27055,5.79055
-1.16288,4.07029
0.07268,-5.3545
9.69164,-7.17073
-4.45,-9.02
-5.45,1.14
-3.29,-0.78
-0.15,1.02
-32.77,-6.72
6.19,5.9
13.23,2.62
1.75,1.31
1.50206,3.82799
0.65525,2.54826
2.75,20.56
5.86,-9.79
-1,3.14
-2.54,-0.46
2.54365,-7.38995
-2.84,-0.8
10.55238,4.61823
-4.61105,5.04796
-2.21,-0.29
7.34,-1.36
-1.2598,3.10114
-1.43,-4.49
7.01,8.37
0.75,0.34
-0.68,0.34
-2.08,2.21
-1.37,0.1
1.57,0.4
16.86,23.79
-0.78,0
10.1,-0.15
-1.86871,0.84941
2.86335,-9.07775
-5.52411,-1.1144
-0.96743,0.72557
-3.00913,6.89282
-3.54,1.99
-1.04348,6.77155
0.73,6.84
2.96,6.16
-5.35,6.47
-8.68,-9.17
